(0,0,0)
(25,0,0)
(50,0,0)
(75,0,0)
(100,0,0)
(125,0,0)
(150,0,0)
(175,0,0)
(200,0,0)
(225,0,0)
(0,25,0)
(25,25,0)
(50,25,0)
(75,25,0)
(100,25,0)
(125,25,0)
(150,25,0)
(175,25,0)
(200,25,0)
(225,25,0)
(0,50,0)
(25,50,0)
(50,50,0)
(75,50,0)
(100,50,0)
(125,50,0)
(150,50,0)
(175,50,0)
(200,50,0)
(225,50,0)
(0,75,0)
(25,75,0)
(50,75,0)
(75,75,0)
(100,75,0)
(125,75,0)
(150,75,0)
(175,75,0)
(200,75,0)
(225,75,0)
(0,100,0)
(25,100,0)
(50,100,0)
(75,100,0)
(100,100,0)
(125,100,0)
(150,100,0)
(175,100,0)
(200,100,0)
(225,100,0)
(0,125,0)
(25,125,0)
(50,125,0)
(75,125,0)
(100,125,0)
(125,125,0)
(150,125,0)
(175,125,0)
(200,125,0)
(225,125,0)
(0,150,0)
(25,150,0)
(50,150,0)
(75,150,0)
(100,150,0)
(125,150,0)
(150,150,0)
(175,150,0)
(200,150,0)
(225,150,0)
(0,175,0)
(25,175,0)
(50,175,0)
(75,175,0)
(100,175,0)
(125,175,0)
(150,175,0)
(175,175,0)
(200,175,0)
(225,175,0)
(0,200,0)
(25,200,0)
(50,200,0)
(75,200,0)
(100,200,0)
(125,200,0)
(150,200,0)
(175,200,0)
(200,200,0)
(225,200,0)
(0,225,0)
(25,225,0)
(50,225,0)
(75,225,0)
(100,225,0)
(125,225,0)
(150,225,0)
(175,225,0)
(200,225,0)
(225,225,0)
(0,0,25)
(25,0,25)
(50,0,25)
(75,0,25)
(100,0,25)
(125,0,25)
(150,0,25)
(175,0,25)
(200,0,25)
(225,0,25)
(0,25,25)
(25,25,25)
(50,25,25)
(75,25,25)
(100,25,25)
(125,25,25)
(150,25,25)
(175,25,25)
(200,25,25)
(225,25,25)
(0,50,25)
(25,50,25)
(50,50,25)
(75,50,25)
(100,50,25)
(125,50,25)
(150,50,25)
(175,50,25)
(200,50,25)
(225,50,25)
(0,75,25)
(25,75,25)
(50,75,25)
(75,75,25)
(100,75,25)
(125,75,25)
(150,75,25)
(175,75,25)
(200,75,25)
(225,75,25)
(0,100,25)
(25,100,25)
(50,100,25)
(75,100,25)
(100,100,25)
(125,100,25)
(150,100,25)
(175,100,25)
(200,100,25)
(225,100,25)
(0,125,25)
(25,125,25)
(50,125,25)
(75,125,25)
(100,125,25)
(125,125,25)
(150,125,25)
(175,125,25)
(200,125,25)
(225,125,25)
(0,150,25)
(25,150,25)
(50,150,25)
(75,150,25)
(100,150,25)
(125,150,25)
(150,150,25)
(175,150,25)
(200,150,25)
(225,150,25)
(0,175,25)
(25,175,25)
(50,175,25)
(75,175,25)
(100,175,25)
(125,175,25)
(150,175,25)
(175,175,25)
(200,175,25)
(225,175,25)
(0,200,25)
(25,200,25)
(50,200,25)
(75,200,25)
(100,200,25)
(125,200,25)
(150,200,25)
(175,200,25)
(200,200,25)
(225,200,25)
(0,225,25)
(25,225,25)
(50,225,25)
(75,225,25)
(100,225,25)
(125,225,25)
(150,225,25)
(175,225,25)
(200,225,25)
(225,225,25)
